,ID,azimuth,dis,x,y,z
22402,6,335.6,2.24,-0.9218267573349344,2.032155807081093,-0.1953924389733437
22403,6,335.95,2.23,-0.905336098772763,2.0286518821614985,-0.1945201512993556
22404,6,332.18,2.3,-1.0693079251145596,2.026408079138468,-0.2006261650172726
22405,6,332.54,2.32,-1.0657420355382392,2.0507657099558765,-0.20237074036524888
22406,6,332.9,2.31,-1.04829765741058,2.0485532443728482,-0.20149845269126074
22407,6,333.26,2.29,-1.0264410592212458,2.037306344276945,-0.19975387734328445
22408,6,333.62,2.27,-1.0047675317185023,2.025866363689284,-0.1980093019953081
22409,6,333.98,2.25,-0.9832786339258156,2.0142351613302334,-0.19626472664733188
22410,6,334.34,2.23,-0.9619759087229592,2.0024146078609966,-0.1945201512993556
22411,6,334.7,2.24,-0.9536327499444264,2.017425679678308,-0.1953924389733437
22412,6,335.06,2.24,-0.9409381500651476,2.023377669280757,-0.1953924389733437
22413,6,335.42,2.23,-0.9240626249715336,2.020190628596518,-0.1945201512993556
22414,6,335.775,2.26,-0.9237907397542148,2.0531311859520414,-0.19713701432132005
22415,6,336.135,2.14,-0.8625074806380498,1.949573112345103,-0.18666956223346234
22416,7,332.0,0.0,-0.0,0.0,-0.0
22417,7,332.36,2.29,-1.0609033733372208,2.0258749758151997,-0.1200608795881059
22418,7,332.72,2.31,-1.0573077475158121,2.050251894055661,-0.12110944622206316
22419,7,333.08,2.29,-1.0353623831219263,2.039046375345253,-0.1200608795881059
22420,7,333.44,2.28,-1.0180651261046378,2.0365790927831555,-0.11953659627112727
22421,7,333.8,2.27,-1.0008399242828636,2.033975298602905,-0.11901231295414864
22422,7,334.16,2.25,-0.979335207095254,2.0222480329321133,-0.11796374632019138
22423,7,334.52,2.21,-0.9494256261036116,1.9923016610136024,-0.11586661305227687
22424,7,334.88,2.24,-0.9496069168751996,2.0253529756445654,-0.11743946300321274
22425,7,335.24,2.24,-0.9368625881206052,2.031279513880224,-0.11743946300321274
22426,7,335.6,2.23,-0.9199559108064688,2.028031548800752,-0.11691517968623412
22427,7,335.95,2.24,-0.9116200160013854,2.042732708641821,-0.11743946300321274
22428,7,332.18,2.29,-1.0672626014652045,2.022532057769729,-0.1200608795881059
22429,7,332.54,2.3,-1.0591386250650092,2.038059025490321,-0.12058516290508453
22430,7,332.9,2.31,-1.0508614842222388,2.0535634012647432,-0.12110944622206316
22431,7,333.26,2.28,-1.0244581935506385,2.033370702016451,-0.11953659627112727
22432,7,333.62,2.28,-1.0116620107668544,2.0397673833364127,-0.11953659627112727
22433,7,333.98,2.27,-0.9944450739951846,2.0371094875268767,-0.11901231295414864
22434,7,334.34,2.21,-0.9556799308461348,1.989309125741327,-0.11586661305227687
22435,7,334.7,2.24,-0.955965054319524,2.022359707729905,-0.11743946300321274
22436,7,335.06,2.24,-0.9432394071939753,2.028326254143025,-0.11743946300321274
22437,7,335.42,2.24,-0.9304765225917168,2.0342127257086817,-0.11743946300321274
22438,7,335.775,2.25,-0.9219524927416736,2.049045669496295,-0.11796374632019138
22439,7,336.135,2.17,-0.8767377174240342,1.9817384994785991,-0.11376947978436235
22440,8,332.0,0.0,-0.0,0.0,-0.0
22441,8,332.36,2.29,-1.0622018088610492,2.0283544363405803,-0.04006991177681028
22442,8,332.72,2.3,-1.0540190906685842,2.0438747773214176,-0.040244889557495035
22443,8,333.08,2.29,-1.036629559126893,2.0415419562954327,-0.04006991177681028
22444,8,333.44,0.0,-0.0,0.0,-0.0
22445,8,333.8,2.27,-1.002064848384355,2.036464673081928,-0.03971995621544076
22446,8,334.16,2.22,-0.9674600275013636,1.9977267470634184,-0.03884506731201697
22447,8,334.52,2.21,-0.9505876244449758,1.9947400312892145,-0.03867008953133218
22448,8,334.88,2.25,-0.9550136421739648,2.0368846178196045,-0.03937000065407124
22449,8,335.24,2.25,-0.9421967517272966,2.0428448996639537,-0.03937000065407124
22450,8,335.6,2.21,-0.9128210175889933,2.0123027640053155,-0.03867008953133218
22451,8,335.95,2.2,-0.896436891628121,2.0087107869724345,-0.03849511175064743
22452,8,332.18,2.26,-1.0545701018574247,1.9984789453354304,-0.039544978434756
22453,8,332.54,2.29,-1.055824314195401,2.0316814267310734,-0.04006991177681028
22454,8,332.9,2.29,-1.0430381262310664,2.0382752192475344,-0.04006991177681028
