,ID,azimuth,dis,x,y,z
28497,4,44.41,2.76,1.907657125,1.947355297,-0.43156881
28521,5,44.41,2.74,1.903192634,1.942797901,-0.333157792
28545,6,44.41,2.74,1.910110585,1.949859813,-0.239006823
28569,7,44.41,2.74,1.914782152,1.954628595,-0.143653629
28593,8,44.41,2.73,1.910128837,1.949878446,-0.047768934
28617,9,44.41,2.92,1.973975881,2.015054141,0.754570096
28641,10,44.41,2.9,1.977450324,2.018600887,0.651874739
28665,11,44.41,2.84,1.950999636,1.991599762,0.54104603
28689,12,44.41,2.81,1.942140942,1.982556719,0.440065239
28713,13,44.41,2.78,1.930947141,1.971129977,0.338363344
28737,14,44.41,2.77,1.931034825,1.971219485,0.241450304
28761,15,44.41,2.77,1.93574692,1.976029638,0.145226479
28785,16,44.41,2.76,1.931133884,1.971320605,0.047084954
28436,1,44.23,2.78,1.873121941,1.924156776,-0.719329476
28460,2,44.23,2.77,1.882893867,1.934194947,-0.621691717
28484,3,44.23,2.76,1.889841818,1.9413322,-0.526618641
28508,4,44.23,2.74,1.887750722,1.939184131,-0.4284415
28532,5,44.23,2.74,1.897079773,1.94876736,-0.333157792
28556,6,44.23,2.73,1.897026688,1.948712829,-0.238134535
28580,7,44.23,2.73,1.901666256,1.953478805,-0.143129346
28604,8,44.23,2.72,1.897019362,1.948705303,-0.047593956
28628,9,44.23,2.91,1.960897193,2.014323541,0.751985952
28652,10,44.23,2.89,1.964302062,2.017821178,0.649626895
28676,11,44.23,2.83,1.937885571,1.990684948,0.539140938
28700,12,44.23,2.8,1.929013648,1.981571301,0.438499171
28724,13,44.23,2.78,1.924745135,1.977186489,0.338363344
28748,14,44.23,2.76,1.917883683,1.97013809,0.240578643
28772,15,44.23,2.76,1.922563687,1.974945605,0.144702195
28796,16,44.23,2.76,1.924931278,1.977377703,0.047084954
28424,1,44.05,2.78,1.867067791,1.930031857,-0.719329476
28448,2,44.05,2.76,1.870032652,1.933096704,-0.619447343
28472,3,44.05,2.75,1.876908505,1.940204435,-0.524710603
28496,4,44.05,2.73,1.874781956,1.938006172,-0.426877845
28520,5,44.05,2.73,1.884046917,1.947583579,-0.331941888
28544,6,44.05,2.72,1.883968918,1.94750295,-0.237262247
28568,7,44.05,2.72,1.888576551,1.952265968,-0.142605062
28592,8,44.05,2.72,1.890887972,1.954655338,-0.047593956
28616,9,44.05,2.9,1.947842644,2.013530721,0.749401807
